index,time_sec,video_frame_index,prediction_index,top_regions,png_path
40,20.0,480,20,L Gyrus and Sulcus cingul-Ant (2.11); L Sulcus collat transv ant (2.10); L Sulcus oc-temp med and Lingual (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0040_0020.0s.png
41,20.5,492,20,L Gyrus and Sulcus cingul-Ant (2.11); L Sulcus collat transv ant (2.10); L Sulcus oc-temp med and Lingual (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0041_0020.5s.png
42,21.0,504,21,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0042_0021.0s.png
43,21.5,516,21,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0043_0021.5s.png
44,22.0,528,22,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0044_0022.0s.png
45,22.5,540,22,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0045_0022.5s.png
46,23.0,552,23,R Gyrus oc-temp med-Parahip (2.25); L Gyrus temporal inf (2.05),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0046_0023.0s.png
47,23.5,564,23,R Gyrus oc-temp med-Parahip (2.25); L Gyrus temporal inf (2.05),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0047_0023.5s.png
48,24.0,576,24,R Gyrus oc-temp med-Parahip (2.31); L Gyrus temporal inf (2.13); L Gyrus oc-temp med-Parahip (2.13); L Gyrus rectus (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0048_0024.0s.png
49,24.5,588,24,R Gyrus oc-temp med-Parahip (2.31); L Gyrus temporal inf (2.13); L Gyrus oc-temp med-Parahip (2.13); L Gyrus rectus (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0049_0024.5s.png
50,25.0,600,25,L Gyrus oc-temp med-Parahip (2.11); R Gyrus oc-temp med-Parahip (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0050_0025.0s.png
51,25.5,611,25,L Gyrus oc-temp med-Parahip (2.11); R Gyrus oc-temp med-Parahip (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0051_0025.5s.png
52,26.0,623,26,R Gyrus front sup (2.07),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0052_0026.0s.png
53,26.5,635,26,R Gyrus front sup (2.07),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0053_0026.5s.png
54,27.0,647,27,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0054_0027.0s.png
55,27.5,659,27,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0055_0027.5s.png
56,28.0,671,28,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0056_0028.0s.png
57,28.5,683,28,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0057_0028.5s.png
58,29.0,695,29,L Gyrus temporal inf (2.15); L Sulcus oc-temp med and Lingual (2.09),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0058_0029.0s.png
59,29.5,707,29,L Gyrus temporal inf (2.15); L Sulcus oc-temp med and Lingual (2.09),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0059_0029.5s.png
60,30.0,719,30,L Gyrus temporal inf (2.36); R Gyrus rectus (2.27); R Sulcus precentral-inf-part (2.14); L Sulcus front sup (2.09); R Gyrus temporal middle (2.08); R Gyrus precentral (2.08); R Sulcus precentral-sup-part (2.08); R Sulcus temporal sup (2.06),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0060_0030.0s.png
61,30.5,731,30,L Gyrus temporal inf (2.36); R Gyrus rectus (2.27); R Sulcus precentral-inf-part (2.14); L Sulcus front sup (2.09); R Gyrus temporal middle (2.08); R Gyrus precentral (2.08); R Sulcus precentral-sup-part (2.08); R Sulcus temporal sup (2.06),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0061_0030.5s.png
62,31.0,743,31,L Gyrus temporal inf (2.45); R Gyrus rectus (2.40); L Sulcus front inf (2.36); R Gyrus temporal middle (2.35); L Sulcus precentral-inf-part (2.30); L Gyrus temp sup-Plan tempo (2.24); R Gyrus parietal sup (2.24); L Lat Fis-post (2.23),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0062_0031.0s.png
