index,time_sec,video_frame_index,prediction_index,top_regions,png_path
49,24.5,588,24,L Gyrus rectus (2.20); L Sulcus temporal inf (2.17); R Gyrus rectus (2.13); L Gyrus precentral (2.13); R Sulcus orbital-H Shaped (2.08); R Sulcus orbital med-olfact (2.07); R Gyrus and Sulcus paracentral (2.05); L Sulcus orbital med-olfact (2.03),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0049_0024.5s.png
50,25.0,600,25,L Sulcus temporal inf (2.08); L Sulcus orbital med-olfact (2.01); L Gyrus precentral (1.98); R Gyrus postcentral (1.93); L Gyrus rectus (1.92); R Gyrus front sup (1.90); L Gyrus and Sulcus paracentral (1.89); L Sulcus central (1.86),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0050_0025.0s.png
51,25.5,611,25,L Sulcus temporal inf (2.08); L Sulcus orbital med-olfact (2.01); L Gyrus precentral (1.98); R Gyrus postcentral (1.93); L Gyrus rectus (1.92); R Gyrus front sup (1.90); L Gyrus and Sulcus paracentral (1.89); L Sulcus central (1.86),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0051_0025.5s.png
52,26.0,623,26,L Sulcus orbital med-olfact (2.14); R Gyrus rectus (1.95); R Gyrus front sup (1.91); R Gyrus subcallosal (1.86); R Gyrus postcentral (1.83); L Gyrus orbital (1.80); L Gyrus front inf-Triangul (1.79),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0052_0026.0s.png
53,26.5,635,26,L Sulcus orbital med-olfact (2.14); R Gyrus rectus (1.95); R Gyrus front sup (1.91); R Gyrus subcallosal (1.86); R Gyrus postcentral (1.83); L Gyrus orbital (1.80); L Gyrus front inf-Triangul (1.79),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0053_0026.5s.png
54,27.0,647,27,L Sulcus orbital med-olfact (2.08); R Gyrus front sup (1.95); R Gyrus rectus (1.94); R Pole occipital (1.93); L Gyrus front inf-Triangul (1.92); L Gyrus orbital (1.88); R Gyrus subcallosal (1.81); R Sulcus central (1.80),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0054_0027.0s.png
55,27.5,659,27,L Sulcus orbital med-olfact (2.08); R Gyrus front sup (1.95); R Gyrus rectus (1.94); R Pole occipital (1.93); L Gyrus front inf-Triangul (1.92); L Gyrus orbital (1.88); R Gyrus subcallosal (1.81); R Sulcus central (1.80),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0055_0027.5s.png
56,28.0,671,28,L Sulcus orbital med-olfact (2.45); R Gyrus orbital (2.04); L Gyrus front inf-Triangul (2.01); R Pole occipital (2.00); R Gyrus front sup (2.00); R Gyrus rectus (1.92); L Lat Fis-ant-Horizont (1.90); R Sulcus central (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0056_0028.0s.png
57,28.5,683,28,L Sulcus orbital med-olfact (2.45); R Gyrus orbital (2.04); L Gyrus front inf-Triangul (2.01); R Pole occipital (2.00); R Gyrus front sup (2.00); R Gyrus rectus (1.92); L Lat Fis-ant-Horizont (1.90); R Sulcus central (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0057_0028.5s.png
58,29.0,695,29,L Gyrus front inf-Triangul (2.19); L Sulcus orbital med-olfact (2.16); R Gyrus orbital (2.12); L Lat Fis-ant-Horizont (1.96); R Gyrus front sup (1.93); L Sulcus circular insula sup (1.91); L Gyrus orbital (1.91); R Sulcus central (1.91),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0058_0029.0s.png
59,29.5,707,29,L Gyrus front inf-Triangul (2.19); L Sulcus orbital med-olfact (2.16); R Gyrus orbital (2.12); L Lat Fis-ant-Horizont (1.96); R Gyrus front sup (1.93); L Sulcus circular insula sup (1.91); L Gyrus orbital (1.91); R Sulcus central (1.91),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0059_0029.5s.png
60,30.0,719,30,R Gyrus orbital (2.32); L Gyrus front inf-Triangul (2.21); L Sulcus circular insula sup (2.05); L Lat Fis-ant-Horizont (2.00); R Sulcus central (1.92); R Gyrus postcentral (1.91); R Gyrus and Sulcus paracentral (1.91); L Sulcus circular insula ant (1.88),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0060_0030.0s.png
61,30.5,731,30,R Gyrus orbital (2.32); L Gyrus front inf-Triangul (2.21); L Sulcus circular insula sup (2.05); L Lat Fis-ant-Horizont (2.00); R Sulcus central (1.92); R Gyrus postcentral (1.91); R Gyrus and Sulcus paracentral (1.91); L Sulcus circular insula ant (1.88),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0061_0030.5s.png
62,31.0,743,31,L Sulcus circular insula sup (2.12); R Gyrus orbital (2.09); R Gyrus and Sulcus paracentral (2.03); L Lat Fis-ant-Horizont (1.99); L Gyrus front inf-Triangul (1.97); R Gyrus front sup (1.97); R Sulcus central (1.96); L Sulcus central (1.95),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0062_0031.0s.png
63,31.5,755,31,L Sulcus circular insula sup (2.12); R Gyrus orbital (2.09); R Gyrus and Sulcus paracentral (2.03); L Lat Fis-ant-Horizont (1.99); L Gyrus front inf-Triangul (1.97); R Gyrus front sup (1.97); R Sulcus central (1.96); L Sulcus central (1.95),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0063_0031.5s.png
64,32.0,767,32,R Gyrus and Sulcus paracentral (2.06); R Gyrus postcentral (2.02); L Sulcus circular insula sup (2.01); R Gyrus orbital (2.00); R Sulcus central (1.98); L Lat Fis-ant-Horizont (1.91); L Sulcus central (1.89); R Gyrus front sup (1.88),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0064_0032.0s.png
65,32.5,779,32,R Gyrus and Sulcus paracentral (2.06); R Gyrus postcentral (2.02); L Sulcus circular insula sup (2.01); R Gyrus orbital (2.00); R Sulcus central (1.98); L Lat Fis-ant-Horizont (1.91); L Sulcus central (1.89); R Gyrus front sup (1.88),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0065_0032.5s.png
66,33.0,791,33,R Gyrus postcentral (2.12); R Lat Fis-post (2.07); L Sulcus circular insula inf (2.06); R Gyrus front sup (2.03); R Gyrus orbital (2.03); R Sulcus central (2.02); R Gyrus and Sulcus cingul-Ant (1.98); R Sulcus circular insula inf (1.98),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0066_0033.0s.png
67,33.5,803,33,R Gyrus postcentral (2.12); R Lat Fis-post (2.07); L Sulcus circular insula inf (2.06); R Gyrus front sup (2.03); R Gyrus orbital (2.03); R Sulcus central (2.02); R Gyrus and Sulcus cingul-Ant (1.98); R Sulcus circular insula inf (1.98),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0067_0033.5s.png
68,34.0,815,34,L Sulcus pericallosal (2.38); R Gyrus front sup (2.21); R Sulcus circular insula inf (2.19); L Sulcus circular insula inf (2.18); R Gyrus temp sup-Plan polar (2.17); R Lat Fis-post (2.15); R Gyrus orbital (2.13); R Gyrus postcentral (2.13),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0068_0034.0s.png
69,34.5,827,34,L Sulcus pericallosal (2.38); R Gyrus front sup (2.21); R Sulcus circular insula inf (2.19); L Sulcus circular insula inf (2.18); R Gyrus temp sup-Plan polar (2.17); R Lat Fis-post (2.15); R Gyrus orbital (2.13); R Gyrus postcentral (2.13),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0069_0034.5s.png
70,35.0,839,35,L Sulcus circular insula inf (2.38); L Gyrus orbital (2.29); R Gyrus temp sup-Plan polar (2.29); R Gyrus front sup (2.29); L Sulcus orbital med-olfact (2.26); R Sulcus circular insula inf (2.21); L Sulcus pericallosal (2.20); R Sulcus orbital-H Shaped (2.20),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0070_0035.0s.png
71,35.5,851,35,L Sulcus circular insula inf (2.38); L Gyrus orbital (2.29); R Gyrus temp sup-Plan polar (2.29); R Gyrus front sup (2.29); L Sulcus orbital med-olfact (2.26); R Sulcus circular insula inf (2.21); L Sulcus pericallosal (2.20); R Sulcus orbital-H Shaped (2.20),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0071_0035.5s.png
