ad,folder,included,excluded_reason,manifest_path,manifest_rows,npz_path,npz_status
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,/Users/seong-yeob/Downloads/tribeproto/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,True,,/Users/seong-yeob/Downloads/tribeproto/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/manifest.csv,121,/Users/seong-yeob/Downloads/tribeproto/data/Budweiser_Super_Bowl_LX_Commercial_American_Icons_predictions.npz,found_in_data
Good_Will_Dunkin_20260428_133842,/Users/seong-yeob/Downloads/tribeproto/Good_Will_Dunkin_20260428_133842,True,,,,/Users/seong-yeob/Downloads/tribeproto/data/Good_Will_Dunkin_predictions.npz,found_in_data
Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425,/Users/seong-yeob/Downloads/tribeproto/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425,True,,/Users/seong-yeob/Downloads/tribeproto/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/manifest.csv,121,/Users/seong-yeob/Downloads/tribeproto/data/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_predictions.npz,found_in_data
Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_threshold90,/Users/seong-yeob/Downloads/tribeproto/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_threshold90,False,threshold_folder_excluded,/Users/seong-yeob/Downloads/tribeproto/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_threshold90/manifest.csv,,/Users/seong-yeob/Downloads/tribeproto/data/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_predictions.npz,found_in_data
LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322,/Users/seong-yeob/Downloads/tribeproto/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322,True,,/Users/seong-yeob/Downloads/tribeproto/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/manifest.csv,121,/Users/seong-yeob/Downloads/tribeproto/data/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_predictions.npz,found_in_data
The_Choice_Pepsi_Super_Bowl_20260429_022611,/Users/seong-yeob/Downloads/tribeproto/The_Choice_Pepsi_Super_Bowl_20260429_022611,True,,/Users/seong-yeob/Downloads/tribeproto/The_Choice_Pepsi_Super_Bowl_20260429_022611/manifest.csv,61,/Users/seong-yeob/Downloads/tribeproto/data/The_Choice_Pepsi_Super_Bowl_predictions.npz,found_in_data
Considering_What_Paris_2024_Paralympic_Games,/Users/seong-yeob/Downloads/tribeproto/data,True,,,,/Users/seong-yeob/Downloads/tribeproto/data/Considering_What_Paris_2024_Paralympic_Games_predictions.npz,found_in_data_only
