ad,rank_within_ad,region,appearances,unique_predictions,frame_count,frame_fraction,mean_score,max_score,mean_rank
Budweiser_Super_Bowl_LX_Commercial_American_Icons,37,L Gyrus cuneus,6,3,121,0.049586776859504134,2.31,2.33,5.666666666666667
Budweiser_Super_Bowl_LX_Commercial_American_Icons,38,L Sulcus suborbital,6,3,121,0.049586776859504134,2.296666666666667,2.54,7.333333333333333
Budweiser_Super_Bowl_LX_Commercial_American_Icons,39,R Gyrus front middle,6,3,121,0.049586776859504134,2.25,2.43,3.3333333333333335
Budweiser_Super_Bowl_LX_Commercial_American_Icons,40,L Gyrus cingul-Post-dorsal,6,3,121,0.049586776859504134,2.2033333333333336,2.22,3.3333333333333335
Budweiser_Super_Bowl_LX_Commercial_American_Icons,41,L Gyrus pariet inf-Angular,6,3,121,0.049586776859504134,2.203333333333333,2.29,5.666666666666667
Budweiser_Super_Bowl_LX_Commercial_American_Icons,42,L Gyrus pariet inf-Supramar,6,3,121,0.049586776859504134,2.1999999999999997,2.39,6.666666666666667
Budweiser_Super_Bowl_LX_Commercial_American_Icons,43,R Sulcus pericallosal,5,3,121,0.04132231404958678,3.4120000000000004,3.58,2.4
Budweiser_Super_Bowl_LX_Commercial_American_Icons,44,R Gyrus insular short,5,3,121,0.04132231404958678,3.4,3.53,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,45,R Gyrus front inf-Opercular,5,3,121,0.04132231404958678,3.2920000000000003,3.44,6.4
Budweiser_Super_Bowl_LX_Commercial_American_Icons,46,R Gyrus and Sulcus cingul-Mid-Ant,4,2,121,0.03305785123966942,3.3449999999999998,3.42,8.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,47,R Sulcus circular insula ant,4,2,121,0.03305785123966942,2.64,2.66,4.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,48,L Pole temporal,4,2,121,0.03305785123966942,2.525,2.77,7.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,49,L Gyrus and Sulcus subcentral,4,2,121,0.03305785123966942,2.425,2.55,5.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,50,L Sulcus precentral-sup-part,4,2,121,0.03305785123966942,2.385,2.44,5.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,51,R Sulcus oc sup and transversal,4,2,121,0.03305785123966942,2.325,2.34,3.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,52,R Gyrus cuneus,4,2,121,0.03305785123966942,2.3200000000000003,2.35,4.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,53,R Sulcus precentral-sup-part,4,2,121,0.03305785123966942,2.3,2.52,7.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,54,L Gyrus front sup,4,2,121,0.03305785123966942,2.285,2.41,4.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,55,L Gyrus temp sup-Gyrus T transv,4,2,121,0.03305785123966942,2.265,2.43,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,56,R Pole temporal,4,2,121,0.03305785123966942,2.25,2.31,5.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,57,L Sulcus front inf,4,2,121,0.03305785123966942,2.2199999999999998,2.36,5.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,58,R Gyrus temp sup-Plan tempo,4,2,121,0.03305785123966942,2.2199999999999998,2.35,6.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,59,R Gyrus precentral,4,2,121,0.03305785123966942,2.205,2.33,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,60,L Sulcus interm prim-Jensen,4,2,121,0.03305785123966942,2.19,2.21,5.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,61,L Sulcus orbital lateral,4,2,121,0.03305785123966942,2.1799999999999997,2.28,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,62,L Sulcus cingul-Marginalis,4,2,121,0.03305785123966942,2.175,2.22,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,63,L Gyrus front inf-Orbital,4,2,121,0.03305785123966942,2.145,2.17,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,64,L Sulcus collat transv ant,4,2,121,0.03305785123966942,2.1100000000000003,2.12,2.5
Budweiser_Super_Bowl_LX_Commercial_American_Icons,65,R Gyrus postcentral,2,1,121,0.01652892561983471,2.62,2.62,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,66,R Gyrus and Sulcus cingul-Mid-Post,2,1,121,0.01652892561983471,2.54,2.54,5.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,67,R Gyrus pariet inf-Supramar,2,1,121,0.01652892561983471,2.54,2.54,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,68,R Sulcus central,2,1,121,0.01652892561983471,2.54,2.54,7.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,69,L Sulcus subparietal,2,1,121,0.01652892561983471,2.47,2.47,8.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,70,R Gyrus pariet inf-Angular,2,1,121,0.01652892561983471,2.47,2.47,4.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,71,R Gyrus temp sup-Gyrus T transv,2,1,121,0.01652892561983471,2.41,2.41,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,72,L Sulcus circular insula inf,2,1,121,0.01652892561983471,2.31,2.31,8.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,73,L Gyrus oc-temp med-Lingual,2,1,121,0.01652892561983471,2.3,2.3,7.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,74,L Sulcus orbital-H Shaped,2,1,121,0.01652892561983471,2.29,2.29,5.0
