ad,source,region,n_vertices,mean_response,max_response,min_response,positive_vertex_fraction
common_mean,common_mean,L Sulcus collat transv post,21,0.2952992022037506,0.3572828769683838,0.17933408915996552,1.0
common_mean,common_mean,R Sulcus collat transv post,25,0.29230204224586487,0.35314130783081055,0.1571597456932068,1.0
common_mean,common_mean,R Sulcus oc middle and Lunatus,51,0.23019637167453766,0.33787479996681213,0.1295391321182251,1.0
common_mean,common_mean,L Sulcus oc middle and Lunatus,61,0.22863242030143738,0.3290614187717438,0.09444133192300797,1.0
common_mean,common_mean,R Sulcus oc sup and transversal,94,0.22456826269626617,0.338266521692276,0.07878722250461578,1.0
common_mean,common_mean,L Sulcus oc sup and transversal,78,0.21826477348804474,0.29449400305747986,0.10258135944604874,1.0
common_mean,common_mean,L Pole occipital,128,0.21462711691856384,0.3452756702899933,-0.04660683497786522,0.984375
common_mean,common_mean,R Pole occipital,173,0.19969187676906586,0.37301281094551086,-0.049556393176317215,0.9826589595375722
common_mean,common_mean,L Gyrus and Sulcus occipital inf,80,0.19847775995731354,0.3637429177761078,0.009390064515173435,1.0
common_mean,common_mean,R Gyrus occipital sup,102,0.1980663537979126,0.37078139185905457,-0.05268075689673424,0.9901960784313726
common_mean,common_mean,R Gyrus occipital middle,129,0.19115330278873444,0.360476016998291,0.07150987535715103,1.0
common_mean,common_mean,R Gyrus oc-temp lat-fusifor,107,0.18694424629211426,0.3197481334209442,-0.03127299249172211,0.9906542056074766
common_mean,common_mean,R Sulcus oc-temp med and Lingual,132,0.18465213477611542,0.3468010425567627,0.06375569105148315,1.0
common_mean,common_mean,L Gyrus oc-temp lat-fusifor,105,0.1727931648492813,0.3664242923259735,0.005568490829318762,1.0
common_mean,common_mean,L Gyrus occipital middle,130,0.16866475343704224,0.3016337454319,0.07759728282690048,1.0
common_mean,common_mean,R Sulcus precentral-sup-part,122,0.15903308987617493,0.25508925318717957,0.07740946859121323,1.0
common_mean,common_mean,R Gyrus and Sulcus occipital inf,87,0.15709270536899567,0.28210633993148804,-0.005599267315119505,0.9885057471264368
common_mean,common_mean,L Sulcus temporal transverse,35,0.15631715953350067,0.23391008377075195,0.09527269005775452,1.0
common_mean,common_mean,L Sulcus oc-temp med and Lingual,148,0.1526772379875183,0.3386164903640747,-0.013449880294501781,0.9932432432432432
common_mean,common_mean,R Sulcus temporal transverse,25,0.15114866197109222,0.20778024196624756,0.08621787279844284,1.0
common_mean,common_mean,L Sulcus occipital ant,52,0.15023279190063477,0.21628600358963013,0.08281411975622177,1.0
common_mean,common_mean,R Sulcus occipital ant,38,0.14935167133808136,0.21101702749729156,0.05103443190455437,1.0
common_mean,common_mean,R Sulcus front inf,147,0.14431972801685333,0.27383604645729065,-0.0658406987786293,0.9319727891156463
common_mean,common_mean,R Gyrus temp sup-Plan tempo,64,0.1386534571647644,0.2587120831012726,0.040887150913476944,1.0
common_mean,common_mean,L Gyrus occipital sup,85,0.13659366965293884,0.27228301763534546,0.0044294544495642185,1.0
common_mean,common_mean,R Sulcus precentral-inf-part,117,0.1289936751127243,0.29865404963493347,0.015937963500618935,1.0
common_mean,common_mean,L Lat Fis-post,128,0.1268415004014969,0.2656008303165436,0.004758452996611595,1.0
common_mean,common_mean,L Sulcus precentral-sup-part,114,0.11859750747680664,0.2640596628189087,0.008753418922424316,1.0
common_mean,common_mean,L Sulcus front inf,136,0.11701396107673645,0.21101093292236328,0.002877506660297513,1.0
common_mean,common_mean,R Sulcus oc-temp lat,59,0.1160331591963768,0.24648107588291168,-0.04916192963719368,0.847457627118644
common_mean,common_mean,R Gyrus parietal sup,209,0.11580437421798706,0.2502715587615967,-0.029298266395926476,0.9760765550239234
common_mean,common_mean,L Sulcus oc-temp lat,54,0.11384513974189758,0.22660960257053375,0.003511198563501239,1.0
common_mean,common_mean,L Gyrus parietal sup,263,0.11082853376865387,0.24880041182041168,-0.0009540623868815601,0.9961977186311787
common_mean,common_mean,L Gyrus temp sup-Plan tempo,92,0.10894852876663208,0.2090689092874527,-0.01759571023285389,0.9891304347826086
common_mean,common_mean,R Sulcus intrapariet and P trans,269,0.1087271124124527,0.25207453966140747,-0.024358512833714485,0.9776951672862454
common_mean,common_mean,L Sulcus intrapariet and P trans,277,0.10769378393888474,0.26422104239463806,-0.015417092479765415,0.9602888086642599
common_mean,common_mean,R Gyrus precentral,241,0.10592251271009445,0.25828495621681213,0.006467390805482864,1.0
common_mean,common_mean,R Gyrus temp sup-G T transv,35,0.10371790081262589,0.1983337253332138,0.011950419284403324,1.0
common_mean,common_mean,R Gyrus and Sulcus paracentral,141,0.10144490003585815,0.1912579983472824,0.01075037568807602,1.0
common_mean,common_mean,L Gyrus oc-temp med-Lingual,151,0.09985609352588654,0.34451237320899963,-0.0330711267888546,0.9602649006622517
common_mean,common_mean,L Gyrus temp sup-G T transv,44,0.09935682266950607,0.18533755838871002,0.008199055679142475,1.0
common_mean,common_mean,R Sulcus postcentral,261,0.09755804389715195,0.1853112131357193,-0.015131209045648575,0.9961685823754789
common_mean,common_mean,R Gyrus oc-temp med-Lingual,138,0.09322074055671692,0.26335611939430237,-0.02522132731974125,0.9565217391304348
common_mean,common_mean,R Gyrus front inf-Triangul,67,0.091291144490242,0.1777014285326004,-0.0682697594165802,0.9402985074626866
common_mean,common_mean,R Sulcus circular insula inf,142,0.08795883506536484,0.24329449236392975,-0.02414056472480297,0.9577464788732394
common_mean,common_mean,R Gyrus temp sup-Lateral,163,0.08493437618017197,0.22030659019947052,-0.1550242006778717,0.8466257668711656
common_mean,common_mean,R Sulcus front sup,175,0.08424309641122818,0.1929136961698532,0.007057597395032644,1.0
common_mean,common_mean,L Sulcus postcentral,277,0.08376874029636383,0.1800808310508728,-0.01431167870759964,0.9891696750902527
common_mean,common_mean,L Gyrus precentral,238,0.08091256767511368,0.225635826587677,-0.03783697262406349,0.9663865546218487
common_mean,common_mean,L Sulcus front sup,187,0.0787016898393631,0.16958171129226685,-0.05294303223490715,0.9625668449197861
common_mean,common_mean,R Gyrus pariet inf-Supramar,263,0.07688464969396591,0.18012301623821259,-0.03771011531352997,0.9847908745247148
common_mean,common_mean,R Lat Fis-post,163,0.0767572671175003,0.1877794712781906,-0.012103808112442493,0.9754601226993865
common_mean,common_mean,R Gyrus and Sulcus cingul-Mid-Post,145,0.07504772394895554,0.17780953645706177,-0.023229142650961876,0.9724137931034482
common_mean,common_mean,R Sulcus parieto occipital,141,0.07446502894163132,0.16957437992095947,-0.05738374590873718,0.9148936170212766
common_mean,common_mean,R Sulcus calcarine,175,0.0743018090724945,0.2721844017505646,-0.1252114623785019,0.9257142857142857
common_mean,common_mean,L Gyrus and Sulcus paracentral,142,0.07357404381036758,0.16616202890872955,-0.013373390771448612,0.9788732394366197
common_mean,common_mean,R Gyrus temp sup-Plan polar,49,0.07314509898424149,0.2557013928890228,-0.03462037071585655,0.9591836734693877
common_mean,common_mean,L Gyrus cuneus,88,0.0730905830860138,0.29688259959220886,-0.022761458531022072,0.875
common_mean,common_mean,L Sulcus precentral-inf-part,121,0.07246287167072296,0.1703423112630844,-0.037838082760572433,0.9090909090909091
common_mean,common_mean,R Sulcus temporal sup,481,0.07217775285243988,0.25195789337158203,-0.0906619057059288,0.8274428274428275
common_mean,common_mean,L Sulcus calcarine,200,0.07209078222513199,0.32159337401390076,-0.0898846983909607,0.89
common_mean,common_mean,L Sulcus cingul-Marginalis,116,0.06934038549661636,0.1515563577413559,-0.01996009610593319,0.9310344827586207
common_mean,common_mean,R Gyrus cuneus,90,0.06868838518857956,0.3249100148677826,-0.045785337686538696,0.7666666666666667
common_mean,common_mean,L Gyrus and Sulcus cingul-Mid-Post,150,0.06808798760175705,0.1681353598833084,-0.046285469084978104,0.9133333333333333
common_mean,common_mean,R Gyrus front sup,494,0.0662032961845398,0.19829674065113068,-0.07294122129678726,0.902834008097166
common_mean,common_mean,R Gyrus postcentral,193,0.06515421718358994,0.20337598025798798,-0.053627729415893555,0.9326424870466321
common_mean,common_mean,R Lat Fis-ant-Horizont,29,0.06454790383577347,0.1471225917339325,0.001293714391067624,1.0
common_mean,common_mean,L Gyrus postcentral,222,0.06376072019338608,0.17344971001148224,-0.04373226687312126,0.8963963963963963
common_mean,common_mean,R Sulcus cingul-Marginalis,149,0.06332194805145264,0.14187096059322357,-0.026149330660700798,0.9731543624161074
common_mean,common_mean,L Gyrus front inf-Triangul,61,0.06257052719593048,0.18253500759601593,-0.013560575433075428,0.9836065573770492
common_mean,common_mean,L Sulcus parieto occipital,138,0.062316060066223145,0.15500229597091675,-0.05938790738582611,0.8260869565217391
common_mean,common_mean,L Gyrus front sup,527,0.060725972056388855,0.2037246823310852,-0.07886026054620743,0.8937381404174574
common_mean,common_mean,R Gyrus front middle,255,0.06033603101968765,0.2291383147239685,-0.09012096375226974,0.8392156862745098
common_mean,common_mean,L Gyrus and Sulcus cingul-Mid-Ant,122,0.05891239270567894,0.13320529460906982,-0.031033404171466827,0.9672131147540983
common_mean,common_mean,R Gyrus and Sulcus cingul-Mid-Ant,142,0.05710579827427864,0.18488167226314545,-0.03319891542196274,0.9366197183098591
common_mean,common_mean,L Gyrus pariet inf-Supramar,250,0.05707276985049248,0.23579712212085724,-0.058413371443748474,0.9
common_mean,common_mean,R Lat Fis-ant-Vertical,19,0.056454308331012726,0.13732929527759552,-0.016459090635180473,0.8947368421052632
common_mean,common_mean,L Gyrus precuneus,225,0.05571405589580536,0.17054541409015656,-0.04911312833428383,0.9022222222222223
common_mean,common_mean,L Sulcus subparietal,85,0.055173855274915695,0.1463698148727417,-0.014931820333003998,0.9764705882352941
common_mean,common_mean,R Gyrus precuneus,241,0.05424067750573158,0.2197323888540268,-0.08200550079345703,0.8547717842323651
common_mean,common_mean,R Sulcus central,301,0.05205816775560379,0.14878205955028534,-0.05228607729077339,0.8870431893687708
common_mean,common_mean,L Lat Fis-ant-Horizont,24,0.05165362358093262,0.08310067653656006,0.011617853306233883,1.0
common_mean,common_mean,R Gyrus front inf-Opercular,98,0.05115815997123718,0.18498672544956207,-0.042527154088020325,0.9387755102040817
common_mean,common_mean,R Sulcus interm prim-Jensen,49,0.051003411412239075,0.113018698990345,-0.017273537814617157,0.9387755102040817
common_mean,common_mean,L Sulcus circular insula inf,158,0.050978682935237885,0.18779321014881134,-0.016590189188718796,0.9430379746835443
common_mean,common_mean,R Sulcus collat transv ant,68,0.048043131828308105,0.12752842903137207,-0.04487081989645958,0.7941176470588235
common_mean,common_mean,R Gyrus pariet inf-Angular,205,0.04481332376599312,0.16020117700099945,-0.06478273123502731,0.848780487804878
common_mean,common_mean,L Gyrus temp sup-Lateral,171,0.04363003000617027,0.19319170713424683,-0.1473800390958786,0.6783625730994152
common_mean,common_mean,L Gyrus front middle,267,0.04269509017467499,0.2226119041442871,-0.09000200033187866,0.7677902621722846
common_mean,common_mean,R Sulcus subparietal,115,0.04205780476331711,0.16435480117797852,-0.07546649128198624,0.7913043478260869
common_mean,common_mean,R Gyrus and Sulcus transv frontopol,52,0.041744474321603775,0.14309062063694,-0.028620192781090736,0.75
common_mean,common_mean,R Sulcus circular insula ant,61,0.041600149124860764,0.09110034257173538,-0.018444547429680824,0.9344262295081968
common_mean,common_mean,L Lat Fis-ant-Vertical,34,0.04140784963965416,0.0936952531337738,-0.010362960398197174,0.9117647058823529
common_mean,common_mean,R Gyrus cingul-Post-ventral,38,0.03974681347608566,0.10493302345275879,-0.005114303901791573,0.9736842105263158
common_mean,common_mean,L Sulcus central,311,0.03954877704381943,0.17002882063388824,-0.09015341848134995,0.752411575562701
common_mean,common_mean,R Gyrus and Sulcus subcentral,131,0.03824249282479286,0.1569092720746994,-0.024990910664200783,0.9083969465648855
common_mean,common_mean,R Sulcus front middle,127,0.03767728805541992,0.11019844561815262,-0.03511619195342064,0.889763779527559
common_mean,common_mean,L Sulcus collat transv ant,72,0.03760738670825958,0.1139383390545845,-0.06322596967220306,0.875
common_mean,common_mean,L Gyrus cingul-Post-ventral,27,0.037047795951366425,0.07956495136022568,-0.017195427790284157,0.9259259259259259
common_mean,common_mean,L Sulcus temporal sup,414,0.0369437150657177,0.20374630391597748,-0.13638117909431458,0.7270531400966184
common_mean,common_mean,L Sulcus orbital lateral,23,0.03389127179980278,0.13609768450260162,-0.03836089372634888,0.6956521739130435
common_mean,common_mean,R Sulcus orbital-H Shaped,77,0.033734280616045,0.12047916650772095,-0.08707594126462936,0.7402597402597403
common_mean,common_mean,L Gyrus pariet inf-Angular,190,0.033620115369558334,0.18712180852890015,-0.07416234165430069,0.7473684210526316
common_mean,common_mean,L Gyrus front inf-Opercular,107,0.03289464861154556,0.16220778226852417,-0.057627394795417786,0.7289719626168224
common_mean,common_mean,L Gyrus and Sulcus transv frontopol,38,0.03280813246965408,0.12193439155817032,-0.0798841342329979,0.7368421052631579
common_mean,common_mean,L Sulcus interm prim-Jensen,29,0.032572533935308456,0.15101444721221924,-0.08626892417669296,0.6206896551724138
common_mean,common_mean,L Sulcus front middle,87,0.031247012317180634,0.12394019216299057,-0.07373654097318649,0.8275862068965517
common_mean,common_mean,L Gyrus and Sulcus subcentral,165,0.030765406787395477,0.1206541657447815,-0.05351540818810463,0.8121212121212121
common_mean,common_mean,R Sulcus pericallosal,146,0.03019695356488228,0.1445288062095642,-0.0824582576751709,0.7465753424657534
common_mean,common_mean,R Gyrus oc-temp med-Parahip,137,0.02973027527332306,0.18415755033493042,-0.06088663637638092,0.7518248175182481
common_mean,common_mean,R Gyrus Ins lg and S cent ins,48,0.02871074341237545,0.06416504830121994,-0.010562579147517681,0.8958333333333334
common_mean,common_mean,L Sulcus pericallosal,147,0.027782220393419266,0.12067509442567825,-0.0954347625374794,0.8027210884353742
common_mean,common_mean,L Sulcus circular insula ant,56,0.026205698028206825,0.07464675605297089,-0.04012686386704445,0.8035714285714286
common_mean,common_mean,R Gyrus front inf-Orbital,20,0.023906150832772255,0.0730767771601677,-0.03133714944124222,0.75
common_mean,common_mean,L Gyrus temp sup-Plan polar,54,0.023120125755667686,0.18231475353240967,-0.08400953561067581,0.5
common_mean,common_mean,R Gyrus cingul-Post-dorsal,57,0.021043917164206505,0.09052938222885132,-0.036551978439092636,0.7719298245614035
common_mean,common_mean,R Gyrus insular short,44,0.020570695400238037,0.06712156534194946,-0.033810704946517944,0.7272727272727273
