index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,R Gyrus orbital (2.35); L Gyrus oc-temp med-Parahip (2.20); R Sulcus collat transv ant (2.17); R Gyrus front sup (2.16); R Gyrus rectus (2.10); L Gyrus rectus (2.06); R Gyrus and Sulcus transv frontopol (1.96); R Gyrus temporal inf (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260428_133358/frame_0000_0000.0s.png
1,0.5,12,0,R Gyrus orbital (2.35); L Gyrus oc-temp med-Parahip (2.20); R Sulcus collat transv ant (2.17); R Gyrus front sup (2.16); R Gyrus rectus (2.10); L Gyrus rectus (2.06); R Gyrus and Sulcus transv frontopol (1.96); R Gyrus temporal inf (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260428_133358/frame_0001_0000.5s.png
2,1.0,24,1,R Gyrus subcallosal (2.32); R Gyrus and Sulcus transv frontopol (2.18); L Gyrus rectus (2.15); R Gyrus and Sulcus cingul-Ant (2.14); R Sulcus postcentral (2.12); R Gyrus temporal inf (2.12); R Sulcus orbital med-olfact (2.08); R Gyrus orbital (2.07),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260428_133358/frame_0002_0001.0s.png
3,1.5,36,1,R Gyrus subcallosal (2.32); R Gyrus and Sulcus transv frontopol (2.18); L Gyrus rectus (2.15); R Gyrus and Sulcus cingul-Ant (2.14); R Sulcus postcentral (2.12); R Gyrus temporal inf (2.12); R Sulcus orbital med-olfact (2.08); R Gyrus orbital (2.07),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260428_133358/frame_0003_0001.5s.png
4,2.0,48,2,R Gyrus subcallosal (2.56); L Gyrus and Sulcus frontomargin (2.54); R Gyrus and Sulcus transv frontopol (2.50); R Gyrus and Sulcus cingul-Ant (2.46); L Gyrus and Sulcus transv frontopol (2.45); L Sulcus orbital lateral (2.40); L Gyrus rectus (2.38); L Gyrus orbital (2.35),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260428_133358/frame_0004_0002.0s.png
