index,time_sec,video_frame_index,prediction_index,top_regions,png_path
13,6.5,156,6,R Gyrus temp sup-Gyrus T transv (2.10); L Gyrus front inf-Opercular (2.06); R Sulcus temporal transverse (2.04); L Gyrus precentral (2.03); L Gyrus temp sup-Lateral (2.02); L Gyrus front inf-Triangul (2.01); R Gyrus temp sup-Lateral (2.01); R Gyrus temp sup-Plan tempo (2.00),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0013_0006.5s.png
14,7.0,168,7,L Gyrus pariet inf-Angular (2.03); L Sulcus temporal sup (1.93); L Gyrus front inf-Opercular (1.92); L Gyrus temp sup-Lateral (1.91); L Gyrus front inf-Triangul (1.87); L Gyrus front middle (1.87); L Sulcus front inf (1.85); R Gyrus temp sup-Lateral (1.84),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0014_0007.0s.png
15,7.5,180,7,L Gyrus pariet inf-Angular (2.03); L Sulcus temporal sup (1.93); L Gyrus front inf-Opercular (1.92); L Gyrus temp sup-Lateral (1.91); L Gyrus front inf-Triangul (1.87); L Gyrus front middle (1.87); L Sulcus front inf (1.85); R Gyrus temp sup-Lateral (1.84),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0015_0007.5s.png
16,8.0,192,8,L Gyrus pariet inf-Angular (1.95); L Gyrus and Sulcus frontomargin (1.86); L Gyrus orbital (1.83); R Sulcus front inf (1.83); L Pole temporal (1.82); L Sulcus temporal sup (1.77); R Pole temporal (1.75); L Sulcus interm prim-Jensen (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0016_0008.0s.png
17,8.5,204,8,L Gyrus pariet inf-Angular (1.95); L Gyrus and Sulcus frontomargin (1.86); L Gyrus orbital (1.83); R Sulcus front inf (1.83); L Pole temporal (1.82); L Sulcus temporal sup (1.77); R Pole temporal (1.75); L Sulcus interm prim-Jensen (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0017_0008.5s.png
18,9.0,216,9,L Gyrus front middle (1.90); L Pole temporal (1.82); L Gyrus front inf-Triangul (1.81); R Sulcus temporal inf (1.79); L Gyrus orbital (1.75); R Gyrus postcentral (1.73); R Sulcus central (1.73); R Gyrus oc-temp med-Parahip (1.73),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0018_0009.0s.png
19,9.5,228,9,L Gyrus front middle (1.90); L Pole temporal (1.82); L Gyrus front inf-Triangul (1.81); R Sulcus temporal inf (1.79); L Gyrus orbital (1.75); R Gyrus postcentral (1.73); R Sulcus central (1.73); R Gyrus oc-temp med-Parahip (1.73),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0019_0009.5s.png
20,10.0,240,10,R Sulcus temporal inf (1.89); L Gyrus rectus (1.88); R Gyrus orbital (1.83); R Sulcus orbital med-olfact (1.80); L Gyrus front middle (1.78); R Gyrus postcentral (1.72); R Gyrus temporal middle (1.71); L Sulcus collat transv ant (1.71),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0020_0010.0s.png
21,10.5,252,10,R Sulcus temporal inf (1.89); L Gyrus rectus (1.88); R Gyrus orbital (1.83); R Sulcus orbital med-olfact (1.80); L Gyrus front middle (1.78); R Gyrus postcentral (1.72); R Gyrus temporal middle (1.71); L Sulcus collat transv ant (1.71),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0021_0010.5s.png
22,11.0,264,11,L Gyrus and Sulcus cingul-Ant (1.76); R Gyrus orbital (1.74); L Gyrus rectus (1.72); L Sulcus pericallosal (1.68); R Gyrus and Sulcus cingul-Ant (1.68); L Gyrus postcentral (1.67); L Sulcus orbital med-olfact (1.67); L Gyrus front middle (1.67),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0022_0011.0s.png
23,11.5,276,11,L Gyrus and Sulcus cingul-Ant (1.76); R Gyrus orbital (1.74); L Gyrus rectus (1.72); L Sulcus pericallosal (1.68); R Gyrus and Sulcus cingul-Ant (1.68); L Gyrus postcentral (1.67); L Sulcus orbital med-olfact (1.67); L Gyrus front middle (1.67),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0023_0011.5s.png
