index,time_sec,video_frame_index,prediction_index,top_regions,png_path
14,7.0,168,7,L Gyrus oc-temp lat-fusifor (2.16); R Sulcus oc-temp med and Lingual (2.15); L Gyrus occipital middle (2.14); R Gyrus orbital (2.13); L Sulcus precentral-inf-part (2.13); R Gyrus oc-temp lat-fusifor (2.11); R Gyrus and Sulcus occipital inf (2.10); L Sulcus intrapariet and P trans (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0014_0007.0s.png
15,7.5,180,7,L Gyrus oc-temp lat-fusifor (2.16); R Sulcus oc-temp med and Lingual (2.15); L Gyrus occipital middle (2.14); R Gyrus orbital (2.13); L Sulcus precentral-inf-part (2.13); R Gyrus oc-temp lat-fusifor (2.11); R Gyrus and Sulcus occipital inf (2.10); L Sulcus intrapariet and P trans (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0015_0007.5s.png
16,8.0,192,8,L Gyrus oc-temp lat-fusifor (2.18); L Sulcus oc-temp med and Lingual (2.17); R Sulcus oc-temp med and Lingual (2.17); L Gyrus occipital middle (2.14); R Gyrus oc-temp med-Parahip (2.13); R Gyrus oc-temp lat-fusifor (2.11); L Sulcus oc-temp lat (2.11); R Gyrus orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0016_0008.0s.png
17,8.5,204,8,L Gyrus oc-temp lat-fusifor (2.18); L Sulcus oc-temp med and Lingual (2.17); R Sulcus oc-temp med and Lingual (2.17); L Gyrus occipital middle (2.14); R Gyrus oc-temp med-Parahip (2.13); R Gyrus oc-temp lat-fusifor (2.11); L Sulcus oc-temp lat (2.11); R Gyrus orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0017_0008.5s.png
18,9.0,216,9,R Gyrus and Sulcus occipital inf (2.13); L Sulcus oc-temp med and Lingual (2.08); L Sulcus oc-temp lat (2.07); R Gyrus and Sulcus cingul-Ant (2.07); L Gyrus front sup (2.07); L Gyrus pariet inf-Angular (2.05); L Gyrus oc-temp lat-fusifor (2.05); L Gyrus oc-temp med-Parahip (2.05),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0018_0009.0s.png
19,9.5,228,9,R Gyrus and Sulcus occipital inf (2.13); L Sulcus oc-temp med and Lingual (2.08); L Sulcus oc-temp lat (2.07); R Gyrus and Sulcus cingul-Ant (2.07); L Gyrus front sup (2.07); L Gyrus pariet inf-Angular (2.05); L Gyrus oc-temp lat-fusifor (2.05); L Gyrus oc-temp med-Parahip (2.05),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0019_0009.5s.png
20,10.0,240,10,L Gyrus front sup (2.28); R Sulcus suborbital (2.09); R Gyrus and Sulcus occipital inf (2.06); R Gyrus and Sulcus frontomargin (2.03); L Gyrus pariet inf-Angular (2.02); R Gyrus front sup (2.01); L Gyrus oc-temp med-Parahip (2.00); L Sulcus oc-temp med and Lingual (2.00),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0020_0010.0s.png
21,10.5,252,10,L Gyrus front sup (2.28); R Sulcus suborbital (2.09); R Gyrus and Sulcus occipital inf (2.06); R Gyrus and Sulcus frontomargin (2.03); L Gyrus pariet inf-Angular (2.02); R Gyrus front sup (2.01); L Gyrus oc-temp med-Parahip (2.00); L Sulcus oc-temp med and Lingual (2.00),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0021_0010.5s.png
22,11.0,264,11,R Gyrus and Sulcus frontomargin (2.07); R Gyrus and Sulcus cingul-Ant (2.00); L Gyrus pariet inf-Angular (1.98); R Sulcus suborbital (1.95); R Gyrus precuneus (1.94); L Gyrus front sup (1.94); L Gyrus oc-temp med-Parahip (1.94); L Sulcus oc-temp med and Lingual (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0022_0011.0s.png
23,11.5,276,11,R Gyrus and Sulcus frontomargin (2.07); R Gyrus and Sulcus cingul-Ant (2.00); L Gyrus pariet inf-Angular (1.98); R Sulcus suborbital (1.95); R Gyrus precuneus (1.94); L Gyrus front sup (1.94); L Gyrus oc-temp med-Parahip (1.94); L Sulcus oc-temp med and Lingual (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0023_0011.5s.png
24,12.0,288,12,R Gyrus front inf-Opercular (1.95); R Gyrus precuneus (1.93); R Gyrus and Sulcus cingul-Mid-Post (1.93); L Gyrus oc-temp med-Parahip (1.92); L Gyrus temporal middle (1.92); R Gyrus rectus (1.91); R Gyrus postcentral (1.90); R Gyrus cuneus (1.90),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0024_0012.0s.png
25,12.5,300,12,R Gyrus front inf-Opercular (1.95); R Gyrus precuneus (1.93); R Gyrus and Sulcus cingul-Mid-Post (1.93); L Gyrus oc-temp med-Parahip (1.92); L Gyrus temporal middle (1.92); R Gyrus rectus (1.91); R Gyrus postcentral (1.90); R Gyrus cuneus (1.90),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0025_0012.5s.png
26,13.0,312,13,R Gyrus rectus (1.94); R Gyrus front inf-Opercular (1.93); R Gyrus temporal inf (1.89); R Lat Fis-post (1.89); R Gyrus front sup (1.88); L Gyrus temporal middle (1.87); L Sulcus oc-temp med and Lingual (1.87); L Gyrus and Sulcus paracentral (1.87),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0026_0013.0s.png
27,13.5,324,13,R Gyrus rectus (1.94); R Gyrus front inf-Opercular (1.93); R Gyrus temporal inf (1.89); R Lat Fis-post (1.89); R Gyrus front sup (1.88); L Gyrus temporal middle (1.87); L Sulcus oc-temp med and Lingual (1.87); L Gyrus and Sulcus paracentral (1.87),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0027_0013.5s.png
28,14.0,336,14,R Lat Fis-post (1.93); R Gyrus rectus (1.92); R Gyrus temporal inf (1.91); R Gyrus orbital (1.90); R Gyrus Ins lg and Sulcus cent ins (1.90); L Gyrus postcentral (1.90); R Gyrus postcentral (1.88); L Gyrus temporal inf (1.87),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0028_0014.0s.png
29,14.5,348,14,R Lat Fis-post (1.93); R Gyrus rectus (1.92); R Gyrus temporal inf (1.91); R Gyrus orbital (1.90); R Gyrus Ins lg and Sulcus cent ins (1.90); L Gyrus postcentral (1.90); R Gyrus postcentral (1.88); L Gyrus temporal inf (1.87),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0029_0014.5s.png
30,15.0,360,15,L Sulcus central (1.95); L Gyrus postcentral (1.95); R Lat Fis-post (1.95); R Gyrus orbital (1.95); R Gyrus temporal middle (1.94); R Gyrus and Sulcus subcentral (1.94); R Gyrus postcentral (1.94); R Sulcus circular insula sup (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0030_0015.0s.png
31,15.5,372,15,L Sulcus central (1.95); L Gyrus postcentral (1.95); R Lat Fis-post (1.95); R Gyrus orbital (1.95); R Gyrus temporal middle (1.94); R Gyrus and Sulcus subcentral (1.94); R Gyrus postcentral (1.94); R Sulcus circular insula sup (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0031_0015.5s.png
32,16.0,384,16,R Sulcus orbital-H Shaped (2.06); L Sulcus central (2.06); R Gyrus oc-temp med-Parahip (2.02); R Gyrus postcentral (1.98); R Lat Fis-post (1.98); L Gyrus postcentral (1.96); L Gyrus orbital (1.96); R Sulcus central (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0032_0016.0s.png
33,16.5,396,16,R Sulcus orbital-H Shaped (2.06); L Sulcus central (2.06); R Gyrus oc-temp med-Parahip (2.02); R Gyrus postcentral (1.98); R Lat Fis-post (1.98); L Gyrus postcentral (1.96); L Gyrus orbital (1.96); R Sulcus central (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0033_0016.5s.png
34,17.0,408,17,R Sulcus orbital-H Shaped (2.29); L Sulcus central (2.09); R Gyrus and Sulcus paracentral (2.07); R Gyrus oc-temp med-Parahip (2.02); R Sulcus central (2.01); R Gyrus temporal middle (1.99); L Gyrus postcentral (1.97); R Gyrus pariet inf-Supramar (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0034_0017.0s.png
35,17.5,420,17,R Sulcus orbital-H Shaped (2.29); L Sulcus central (2.09); R Gyrus and Sulcus paracentral (2.07); R Gyrus oc-temp med-Parahip (2.02); R Sulcus central (2.01); R Gyrus temporal middle (1.99); L Gyrus postcentral (1.97); R Gyrus pariet inf-Supramar (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0035_0017.5s.png
36,18.0,432,18,R Gyrus and Sulcus paracentral (2.21); R Sulcus central (2.02); R Sulcus orbital-H Shaped (1.99); L Sulcus central (1.99); L Gyrus pariet inf-Supramar (1.98); R Gyrus pariet inf-Supramar (1.98); L Gyrus and Sulcus cingul-Mid-Post (1.96); L Gyrus pariet inf-Angular (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0036_0018.0s.png
37,18.5,444,18,R Gyrus and Sulcus paracentral (2.21); R Sulcus central (2.02); R Sulcus orbital-H Shaped (1.99); L Sulcus central (1.99); L Gyrus pariet inf-Supramar (1.98); R Gyrus pariet inf-Supramar (1.98); L Gyrus and Sulcus cingul-Mid-Post (1.96); L Gyrus pariet inf-Angular (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0037_0018.5s.png
38,19.0,456,19,L Gyrus and Sulcus cingul-Mid-Post (2.11); L Gyrus parietal sup (2.09); R Gyrus orbital (2.08); R Gyrus precentral (2.03); R Gyrus and Sulcus cingul-Mid-Post (2.02); R Sulcus postcentral (1.99); L Gyrus front sup (1.98); L Gyrus temporal middle (1.97),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0038_0019.0s.png
39,19.5,468,19,L Gyrus and Sulcus cingul-Mid-Post (2.11); L Gyrus parietal sup (2.09); R Gyrus orbital (2.08); R Gyrus precentral (2.03); R Gyrus and Sulcus cingul-Mid-Post (2.02); R Sulcus postcentral (1.99); L Gyrus front sup (1.98); L Gyrus temporal middle (1.97),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0039_0019.5s.png
40,20.0,480,20,R Gyrus orbital (2.18); L Gyrus parietal sup (2.16); L Sulcus orbital lateral (2.09); R Gyrus and Sulcus cingul-Mid-Post (2.02); L Gyrus and Sulcus cingul-Mid-Post (1.99); R Sulcus intrapariet and P trans (1.97); R Sulcus postcentral (1.96); L Gyrus front sup (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0040_0020.0s.png
41,20.5,492,20,R Gyrus orbital (2.18); L Gyrus parietal sup (2.16); L Sulcus orbital lateral (2.09); R Gyrus and Sulcus cingul-Mid-Post (2.02); L Gyrus and Sulcus cingul-Mid-Post (1.99); R Sulcus intrapariet and P trans (1.97); R Sulcus postcentral (1.96); L Gyrus front sup (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0041_0020.5s.png
42,21.0,504,21,L Sulcus temporal inf (2.37); R Sulcus intrapariet and P trans (1.92); L Gyrus parietal sup (1.92); R Sulcus postcentral (1.91); L Sulcus orbital lateral (1.89); L Gyrus orbital (1.86); L Gyrus front inf-Triangul (1.86); L Gyrus front sup (1.85),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0042_0021.0s.png
43,21.5,516,21,L Sulcus temporal inf (2.37); R Sulcus intrapariet and P trans (1.92); L Gyrus parietal sup (1.92); R Sulcus postcentral (1.91); L Sulcus orbital lateral (1.89); L Gyrus orbital (1.86); L Gyrus front inf-Triangul (1.86); L Gyrus front sup (1.85),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0043_0021.5s.png
44,22.0,528,22,L Sulcus precentral-sup-part (1.92); L Sulcus front sup (1.92); R Sulcus intrapariet and P trans (1.91); L Gyrus front sup (1.90); L Sulcus temporal inf (1.90); R Sulcus postcentral (1.87); L Gyrus temporal inf (1.87); L Sulcus orbital lateral (1.86),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0044_0022.0s.png
45,22.5,540,22,L Sulcus precentral-sup-part (1.92); L Sulcus front sup (1.92); R Sulcus intrapariet and P trans (1.91); L Gyrus front sup (1.90); L Sulcus temporal inf (1.90); R Sulcus postcentral (1.87); L Gyrus temporal inf (1.87); L Sulcus orbital lateral (1.86),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0045_0022.5s.png
46,23.0,552,23,L Sulcus front sup (2.08); L Gyrus front sup (2.08); R Sulcus front sup (2.01); R Sulcus precentral-sup-part (1.98); L Sulcus precentral-sup-part (1.97); R Gyrus precentral (1.95); L Sulcus precentral-inf-part (1.95); L Gyrus temporal inf (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0046_0023.0s.png
47,23.5,564,23,L Sulcus front sup (2.08); L Gyrus front sup (2.08); R Sulcus front sup (2.01); R Sulcus precentral-sup-part (1.98); L Sulcus precentral-sup-part (1.97); R Gyrus precentral (1.95); L Sulcus precentral-inf-part (1.95); L Gyrus temporal inf (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0047_0023.5s.png
