index,time_sec,video_frame_index,prediction_index,top_regions,png_path
36,18.0,431,18,L Sulcus orbital med-olfact (2.12); R Gyrus subcallosal (2.10); R Gyrus pariet inf-Angular (2.02); R Gyrus temp sup-Lateral (1.99); R Gyrus oc-temp med-Parahip (1.97); R Gyrus pariet inf-Supramar (1.96); R Gyrus precentral (1.94); R Sulcus precentral-inf-part (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0036_0018.0s.png
37,18.5,443,18,L Sulcus orbital med-olfact (2.12); R Gyrus subcallosal (2.10); R Gyrus pariet inf-Angular (2.02); R Gyrus temp sup-Lateral (1.99); R Gyrus oc-temp med-Parahip (1.97); R Gyrus pariet inf-Supramar (1.96); R Gyrus precentral (1.94); R Sulcus precentral-inf-part (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0037_0018.5s.png
38,19.0,455,19,R Gyrus subcallosal (2.10); R Gyrus oc-temp med-Parahip (2.07); R Gyrus pariet inf-Angular (2.01); L Sulcus suborbital (2.01); R Gyrus temp sup-Lateral (2.00); R Sulcus temporal sup (1.96); L Lat Fis-post (1.95); R Gyrus pariet inf-Supramar (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0038_0019.0s.png
39,19.5,467,19,R Gyrus subcallosal (2.10); R Gyrus oc-temp med-Parahip (2.07); R Gyrus pariet inf-Angular (2.01); L Sulcus suborbital (2.01); R Gyrus temp sup-Lateral (2.00); R Sulcus temporal sup (1.96); L Lat Fis-post (1.95); R Gyrus pariet inf-Supramar (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0039_0019.5s.png
40,20.0,479,20,R Gyrus oc-temp med-Parahip (2.07); L Sulcus calcarine (1.99); R Gyrus pariet inf-Angular (1.98); R Gyrus subcallosal (1.96); L Gyrus rectus (1.96); L Sulcus temporal sup (1.95); R Gyrus pariet inf-Supramar (1.95); R Sulcus calcarine (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0040_0020.0s.png
41,20.5,491,20,R Gyrus oc-temp med-Parahip (2.07); L Sulcus calcarine (1.99); R Gyrus pariet inf-Angular (1.98); R Gyrus subcallosal (1.96); L Gyrus rectus (1.96); L Sulcus temporal sup (1.95); R Gyrus pariet inf-Supramar (1.95); R Sulcus calcarine (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0041_0020.5s.png
42,21.0,503,21,R Gyrus and Sulcus transv frontopol (2.03); L Sulcus calcarine (1.96); L Gyrus orbital (1.96); R Gyrus oc-temp med-Parahip (1.95); L Gyrus cuneus (1.94); R Sulcus central (1.94); R Gyrus and Sulcus subcentral (1.94); R Gyrus rectus (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0042_0021.0s.png
43,21.5,515,21,R Gyrus and Sulcus transv frontopol (2.03); L Sulcus calcarine (1.96); L Gyrus orbital (1.96); R Gyrus oc-temp med-Parahip (1.95); L Gyrus cuneus (1.94); R Sulcus central (1.94); R Gyrus and Sulcus subcentral (1.94); R Gyrus rectus (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0043_0021.5s.png
44,22.0,527,22,L Gyrus rectus (2.02); R Sulcus central (2.02); L Gyrus postcentral (1.97); R Gyrus and Sulcus transv frontopol (1.96); L Gyrus and Sulcus paracentral (1.94); L Gyrus and Sulcus subcentral (1.94); R Sulcus circular insula sup (1.94); L Sulcus central (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0044_0022.0s.png
45,22.5,539,22,L Gyrus rectus (2.02); R Sulcus central (2.02); L Gyrus postcentral (1.97); R Gyrus and Sulcus transv frontopol (1.96); L Gyrus and Sulcus paracentral (1.94); L Gyrus and Sulcus subcentral (1.94); R Sulcus circular insula sup (1.94); L Sulcus central (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0045_0022.5s.png
